Empreendimento;Bairro;Cidade;Lat;Lon; Valorempr ;ValorM;Area
Recanto Das Pedras Apto 16X7ENZ - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 700.000,00 ;17073,00;Zona Sul
Selfie Tech - D2J;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 699.000,00 ;15081,00;Zona Sul
Condomínio Edifício Augusto Aragão Apto AP0116 - Homer Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 695.000,00 ;10692,00;Zona Sul
Condomínio do Edifício Luana Apto AP0172 - Homer Exclusividades;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 680.000,00 ;4444,00;Zona Oeste
Era Botafogo - Mozak;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 673.928,00 ;16134,00;Zona Sul
GBC 90 Apto 3FT1QX - LOFT Select - RJ;Glória; Rio de Janeiro - RJ;-22920000;-43176500; R$ 670.000,00 ;8701,00;Centro
Maggiore Residenziale - Sacisa;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 667.300,00 ;8928,00;Zona Norte
Village Vert - Sinco RJ;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 663.200,00 ;8472,00;Zona Oeste
Casa Gabizo Apto AD0002RE69 - REMAX Home Exclusividades;Maracanã; Rio de Janeiro - RJ;-22913470;-43227350; R$ 659.000,00 ;4576,00;Zona Norte
HDH 157 Apto ZFNGMP - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 650.000,00 ;14130,00;Centro
Parque Sustentável da Gávea - Lojas - Mozak;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 614.145,00 ;33744,00;Zona Sul
Insight Praia do Flamengo - D2J;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 600.000,00 ;15844,00;Zona Sul
Superiore Residence - Sacisa;Méier; Rio de Janeiro - RJ;-22902220;-43280350; R$ 597.200,00 ;7849,00;Zona Norte
UP Barra Mais Condomínio Clube - Even RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 589.780,00 ;9598,00;Zona Oeste
Ilha Pura - Millenio - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 582.000,00 ;7362,00;Zona Oeste
Riachuelo 366 Corporate - Even RJ;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 575.480,00 ;20942,00;Centro
CPI 48 Apto 24975 - C Domingues Imóveis Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 575.000,00 ;20536,00;Zona Sul
Link Office Mall & Stay - Office Lojas - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 570.073,00 ;6599,00;Zona Oeste
Cidade Jardim - Maayan - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 560.000,00 ;8124,00;Zona Oeste
UP Barra Condomínio Clube - Even RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 551.750,00 ;10124,00;Zona Oeste
FMDA 185 Apto 11AT8IP - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 550.000,00 ;13415,00;Zona Sul
Now Smart Residence Cachambi - Avanço Realizações;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 549.000,00 ;7828,00;Zona Norte
Gloria del'art Coliving - Valente;Glória; Rio de Janeiro - RJ;-22920000;-43176500; R$ 542.000,00 ;15894,00;Centro
Silveira Martins Apto 1HINZ25 - LOFT Select - RJ;Catete; Rio de Janeiro - RJ;-22925860;-43177710; R$ 540.000,00 ;13500,00;Centro
tio marcelino Apto UPK8KP - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 510.000,00 ;12439,00;Zona Sul
Liberty Personalité Residences - Calçada;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 498.500,00 ;7523,00;Zona Norte
RJZ Cyrela Like Residencial Club - Fase 2 - Cyrela RJZ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 497.260,00 ;7662,00;Zona Oeste
Arcos 123 Corporate - Even RJ;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 490.550,00 ;23664,00;Centro
Lead Américas Business - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 487.218,00 ;10382,00;Zona Oeste
Touch - João Fortes;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 479.000,00 ;20151,00;Zona Sul
Residencial Skylux - Tegra RJ;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 472.200,00 ;15010,00;Centro
Up Norte - Fase 1 - Even RJ;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 463.600,00 ;7974,00;Zona Norte
presidente Apto QOZQAQ - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 460.000,00 ;15333,00;Zona Sul
FSV 203 Apto 1JPCPZH - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 450.000,00 ;17308,00;Zona Sul
guarapari Apto 1267U60 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 445.150,00 ;17121,00;Zona Sul
Hub Coliving - Opportunity;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 443.125,00 ;12500,00;Centro
Living Special - Living RJ;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 425.274,00 ;7131,00;Zona Norte
Now Plus Boutique Residences - Avanço Realizações;Méier; Rio de Janeiro - RJ;-22902220;-43280350; R$ 419.000,00 ;7474,00;Zona Norte
Link Office Mall & Stay - Mall - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 417.827,00 ;6195,00;Zona Oeste
CPJ 150 Apto 1LOKBNE - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 415.000,00 ;9222,00;Zona Sul
Vidamérica Clube Residencial - Living RJ;Del Castilho; Rio de Janeiro - RJ;-22880280;-43268390; R$ 410.050,00 ;7270,00;Zona Norte
Signature Tijuca Residence - ArtLar;Andaraí; Rio de Janeiro - RJ;-22927750;-43251920; R$ 397.800,00 ;6469,00;Zona Norte
Prime Design Offices - Even RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 394.990,00 ;19334,00;Zona Oeste
Vidamérica Clube Residencial - Fase 2 - Living RJ;Del Castilho; Rio de Janeiro - RJ;-22880280;-43268390; R$ 385.388,00 ;7464,00;Zona Norte
Terezinha Gladis Apto 1AZ566O - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 385.000,00 ;14259,00;Zona Sul
Soho Residence - Comercial - Tegra RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 376.600,00 ;7245,00;Zona Oeste
Mérito Jacarepaguá - Cury RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 373.785,00 ;8624,00;Zona Oeste
Soho Residence - Lojas - Tegra RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 373.300,00 ;9422,00;Zona Oeste
Trend Up Norte - Even RJ;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 357.100,00 ;7812,00;Zona Norte
L'Art Residences - ArtLar;Andaraí; Rio de Janeiro - RJ;-22927750;-43251920; R$ 351.390,00 ;4553,00;Zona Norte
Front Park Residence - Fase 5 - V2 Empreendimentos;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 346.866,00 ;6384,00;Zona Oeste
Living Wish Norte - Living RJ;Cachambi; Rio de Janeiro - RJ;-22891250;-43274140; R$ 331.162,00 ;7364,00;Zona Norte
Prana - Home & Spa - ArtLar;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 326.263,00 ;5798,00;Zona Oeste
Front Park Residence - Fase 1 - V2 Empreendimentos;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 325.891,00 ;6342,00;Zona Oeste
Stillo Barra Residencial - Riva Incorporadora RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 319.000,00 ;6726,00;Zona Oeste
Front Park Residence - Fase 2 - V2 Empreendimentos;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 316.060,00 ;6117,00;Zona Oeste
Neolink Office Mall & Stay - Offices Loja - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 298.270,00 ;6414,00;Zona Oeste
Star Residencial - CTV;Irajá; Rio de Janeiro - RJ;-22839270;-43324010; R$ 286.832,00 ;5562,00;Zona Norte
Condomínio Edifício Bandeirantes Marcos Azevedo Apto AP0246 - Homer Exclusividades;Engenho de Dentro; Rio de Janeiro - RJ;-22899700;-43295830; R$ 285.000,00 ;4071,00;Zona Norte
Cores do Rio - W3 Engenharia;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 283.000,00 ;9062,00;Centro
Vivaz Prime Bandeirantes - Fase 1 - Vivaz RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 272.464,00 ;5988,00;Zona Oeste
Living Sunset - Living RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 271.737,00 ;7858,00;Zona Oeste
Now Smart Residence Irajá - Avanço Realizações;Irajá; Rio de Janeiro - RJ;-22839270;-43324010; R$ 271.200,00 ;6576,00;Zona Norte
Vivaz Prime Zona Norte - Vivaz RJ;Engenho de Dentro; Rio de Janeiro - RJ;-22899700;-43295830; R$ 267.437,00 ;5956,00;Zona Norte
Torres do Méier - MRV RJ;Méier; Rio de Janeiro - RJ;-22902220;-43280350; R$ 261.490,00 ;6028,00;Zona Norte
Reserva Mirataia I - Novolar;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 258.000,00 ;5404,00;Zona Oeste
Crystal Mall - W3 Engenharia;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 255.000,00 ;10723,00;Zona Oeste
BDPAI 97 Casa CA0041 - Homer Exclusividades;Braz de Pina; Rio de Janeiro - RJ;-22838830;-43295310; R$ 250.000,00 ;3571,00;Zona Norte
Easy Residencial - Vitale;Campinho; Rio de Janeiro - RJ;-22885780;-43343811; R$ 240.000,00 ;5396,00;Zona Oeste
Apogeu Barra - Riva Incorporadora RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 239.000,00 ;5406,00;Zona Oeste
Esplendor Carioca - Fase 1 - MRV RJ;Del Castilho; Rio de Janeiro - RJ;-22880280;-43268390; R$ 227.490,00 ;6446,00;Zona Norte
